_id,Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
664bfc65a0606d60a6319618,Intel ISEF ,Samis: uso do sabugo de milho para substituição do poliestireno - fase II,Colégio SESI, Campo Largo,Paraná (PR),2019
664bfc66a0606d60a6319619,Intel ISEF ,ACAPELA: Aparelho de Comunicação Alternativa para Pessoas com Esclerose Lateral Amiotrófica,IF Baiano - Campus Valença, Valenca,Bahia (BA),2019
664bfc66a0606d60a631961a,Intel ISEF ,Análise do efeito alelopático de Leucaena leucocephala sobre Lactuca sativa var. crispa e Cecropia sp.,E.E. Teotônio Vilela, Campo Grande,Mato Grosso do Sul (MS),2019
664bfc66a0606d60a631961b,Intel ISEF ,Análise e desenvolvimento de interactomas sob estímulo por agrotóxicos: um estudo de processos biológicos e geração de doenças neurológicas por contaminantes agrícolas,E.E.F.M. Deputado Joaquim de Figueiredo Correia, Iracema,Ceará (CE),2019
664bfc67a0606d60a631961c,Intel ISEF ,Desenvolvimento de cateter bioativo proveniente do aproveitamento do líquido da castanha do caju (Anacardium Occidentale) como alternativa na prevenção de infecção sistêmica,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
664bfc67a0606d60a631961d,Intel ISEF ,CATCHPOOH: aproveitamento de resíduos para biossíntese de celulose e confecção de embalagem,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2019
664bfc67a0606d60a631961e,Intel ISEF ,Endopiso: reutilizando o endocarpo lenhoso do Cocus nucifera na produção de piso alternativo,E.E. Educação Profissional Júlio França, Bela Cruz,Ceará (CE),2019
664bfc75454cf75dcafaa890,Outstanding for Behavioral Sciences ,Gravidez e maternidade na adolescência: mobilidade social e sociabilidade local na periferia de São Paulo ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2018
664bfc77454cf75dcafaa891, ,"Solidari: plataforma que interliga instituições sociais, doadores e voluntários, com o intuito de propagar o voluntariado no Brasil ",Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2018
664bfc77454cf75dcafaa892,The 2018 Regional Ricoh Sustainable Development Award ,Biovaso: reaproveitamento dos resíduos de biomassa Euterpe oleracea para a produção de vasos ecológicos ,Escola Conexão Aquarela, Macapa,Amapá (AP),2018
664bfc78454cf75dcafaa893,The 2018 Regional Ricoh Sustainable Development Award ,Redução dos níveis de CO2 antrópico na atmosfera utilizando o metabolismo da microalga Dunaliella salina e aproveitamento da sua biomassa para produção de tensoativo ,SESI Piatã - Escola Djalma Pessoa, Salvador,Bahia (BA),2018
664bfc78454cf75dcafaa894,Student Awards for Geoscience Excellence ,As nascentes do Rio das Mulheres - cuidar para não morrer ,Colégio Estadual Eurides Santana, Pocoes,Bahia (BA),2018
664bfc78454cf75dcafaa895,"Most Outstanding Exhibit in Computer Science, Engineering, Physics or ",Desenvolvimento de um sistema de alerta para moradores de áreas suscetíveis a enchentes em Atibaia (SAMASE) ,Colégio FAAT, Atibaia,São Paulo (SP),2018
664bfc79454cf75dcafaa896,ASU Walton Sustainability Solution Initiatives ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
664bfc79454cf75dcafaa897,"Most Challenging, original, thorough and Creative Investigation of a Problem ",Verificação da Lei de Titius-Bode em sistemas exoplanetários e determinação de fórmulas que descrevem as distâncias planetas-estrelas ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2018
664bfc7a454cf75dcafaa898,Outstanding Achievement for Ability and Creativity in an Atmospheric Science ,Bolmoringa - o uso da semente da Moringa oleifera como solução a eutrofização ,Escola SESI-Canaã Centro de Atividades Mozart Soares Filho, Goiania,Goiás (GO),2018
664bfc7a454cf75dcafaa899,Outstanding Achievement for Ability and Creativity in In Vitro Biology ,Uso de diferentes concentrações de extratos vegetais no controle in vitro do fungo Colletotrichum musae causador da antracnose nos frutos da bananeira (Musa spp.) ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2018
664bfc7a454cf75dcafaa89a,Prêmio ABRIC de Excelência em Iniciação Científica ,Desvendando as regiões da Bahia através da criação de mangás ,Colégio Estadual Edvaldo Brandão Correia, Salvador,Bahia (BA),2018
664bfc7b454cf75dcafaa89b,Prêmio ABRIC de Excelência em Iniciação Científica ,GyroGlove de baixo custo ,E.E. Juscelino Kubitschek Ensino Fundamental e Médio, Acu,Rio Grande do Norte (RN),2018
664bfc7b454cf75dcafaa89c,Prêmio ABRIC de Excelência em Iniciação Científica ,Monitorador de câmara subterrânea para prevenção de explosões de bueiro ,E.T.E. Henrique Lage, Niteroi,Rio de Janeiro (RJ),2018
664bfc7c454cf75dcafaa89d,Prêmio ABRIC de Excelência em Iniciação Científica ,A importância das técnicas de propagação vegetativa na agricultura familiar ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2018
