Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
4o. Lugar em Ciências Agrárias ,Síntese de polímeros biodegradáveis a partir de coprodutos agroindustriais para combate à escassez de água e melhoramento agrícola ,E.E.M. Ronaldo Caminha Barbosa, Cascavel,Ceará (CE),2020
4o. Lugar em Ciências Biológicas ,Lima-da-pérsia como solução alternativa e natural para a desinfecção da água ,Colégio Estadual João Vilas Boas, Livramento Do Brumado,Bahia (BA),2020
4o. Lugar em Ciências Biológicas ,Fabricação e utilização do biodiesel como combustível alternativo ,E.M. Amaro de Souza Paes, Sao Joao Da Barra,Rio de Janeiro (RJ),2020
4o. Lugar em Ciências Biológicas ,Aplicação dos polifenóis da casca da banana verde para a produção de curativos contra infecções cutâneas ,Etec Lauro Gomes, Sao Bernardo Do Campo,São Paulo (SP),2020
4o. Lugar em Ciências Biológicas ,Mangobag: reaproveitamento do caroço da manga espada (Mangifera indica) na criação de sacolas biodegradáveis ,E.E. Juscelino Kubitschek, Acu,Rio Grande do Norte (RN),2020
4o. Lugar em Ciências da Saúde ,Desenvolvimento e caracterização de nanopartículas poliméricas bioativas para o tratamento de bactérias patogênicas ,E.E. Aida Ramalho Cortez Pereira, Mossoro,Rio Grande do Norte (RN),2020
4o. Lugar em Ciências da Saúde ,Caixa de remédios automatizada para auxiliar idosos ,E.E.B. Bom Pastor, Chapeco,Santa Catarina (SC),2020
4o. Lugar em Ciências da Saúde ,Icy Head - crioterapia capilar ,Colegio Pectrus Ltda, Hortolandia,São Paulo (SP),2020
4o. Lugar em Ciências Exatas e da Terra ,Otimização da formulação e dos parâmetros de produção de pastilha efervescente para detecção de fraude no leite por adição de reconstituintes de densidade em laboratório escolar ,Colégio Farroupilha, Porto Alegre,Rio Grande do Sul (RS),2020
4o. Lugar em Ciências Exatas e da Terra ,Casa de farinha: da mandioca ao bioplástico ,Colégio Estadual Dr. Antônio Garcia Filho, Umbauba,Sergipe (SE),2020
4o. Lugar em Ciências Exatas e da Terra ,Aplicação da casca de banana nanica como biossorvente na remoção de permanganato de potássio ,Etec Júlio de Mesquita, Santo Andre,São Paulo (SP),2020
4o. Lugar em Ciências Exatas e da Terra ,GlyphoGrab: Desenvolvimento de material alternativo capaz de adsorver glifosato em meio aquoso ,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2020
4o. Lugar em Ciências Humanas ,Pequenos viajantes: um jogo para o auxílio no desenvolvimento da habilidade de escrita e leitura de crianças com dislexia ,IFMS - Campus Ponta Porã, Ponta Pora,Mato Grosso do Sul (MS),2020
4o. Lugar em Ciências Humanas ,A influência da música no melhoramento do foco e dos estudos: a aplicação do poder de padrão musical melodioso ,Centro Educacional Arteceb, Imperatriz,Maranhão (MA),2020
4o. Lugar em Ciências Sociais Aplicadas ,Avaliação da fibra de paina (Ceiba pentandra) como biomanta de contenção de encostas na Região Metropolitana do Recife ,Colégio Militar do Recife, Recife,Pernambuco (PE),2020
4o. Lugar em Ciências Sociais Aplicadas ,Suporte para autonomia de cadeirantes ,Escola SESI Dourados, Dourados,Mato Grosso do Sul (MS),2020
4o. Lugar em Engenharia ,Madeira Plástica: um compósito baseado em polietileno de alta densidade e rejeitos de mineração ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2020
4o. Lugar em Engenharia ,BabyCall ,CEFET-MG - Unidade BH - Campus II, Belo Horizonte,Minas Gerais (MG),2020
4o. Lugar em Engenharia ,Comigo Ninguém (Pó)de - dispositivo de segurança para mulheres vítimas de assédio ,IFC - Campus Rio do Sul, Unidade Urbana,Tocantins (TO),2020
4o. Lugar em Engenharia ,Medprat - medicação programada automatizada ,Etec Bento Quirino, Campinas,São Paulo (SP),2020
4o. Lugar em Engenharia ,Libert-tremores - dispositivo biomédico atenuante dos tremores de Parkinson ,Dom Manuel Palmeira da Rocha, Esperanca,Paraíba (PB),2020
3o. Lugar em Ciências Agrárias ,Qualidade de ovos de galinha submetidos a diferentes condições de armazenamento e tempo de estocagem utilizando imagem térmica ,IFMS - Campus Nova Andradina, Nova Andradina,Mato Grosso do Sul (MS),2020
3o. Lugar em Ciências Agrárias ,EcoBoard: desenvolvimento de painéis aglomerados utilizando resíduos do milho e arroz ,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2020
3o. Lugar em Ciências Agrárias ,O uso da pimenta dedo-de-moça no cultivo de hortaliças ,Escola Estadual de Ensino Fundamental General Osório, Osorio,Rio Grande do Sul (RS),2020
3o. Lugar em Ciências Biológicas ,"Análise do efeito alelopático de Leucaena leucocephala sobre Lactuca sativa subsp. crispa, Cecropia pachystachya e Campomanesia adamantium ",E.E. Teotônio Vilela, Campo Grande,Mato Grosso do Sul (MS),2020
3o. Lugar em Ciências Biológicas ,"Aquaponia, meliponicultura e IoT: práticas empreendedoras para comunidades sustentáveis ",E.E. Profa. Hermelina de Albuquerque Passarella, Mairipora,São Paulo (SP),2020
3o. Lugar em Ciências Biológicas ,Desenvolvimento de um microscópio portátil fabricado em impressora 3D como agente facilitador do ensino de ciências biológicas ,IFPR - Campus Paranaguá, Paranagua,Paraná (PR),2020
3o. Lugar em Ciências da Saúde ,Propriedades repelentes dos frutos de noni (Morinda citrifolia) aplicadas ao caruncho do milho (Sitophilus zeamais) ,Centro Integrado SESI/SENAI Aparecida do Taboado, Aparecida Do Taboado,Mato Grosso do Sul (MS),2020
3o. Lugar em Ciências da Saúde ,Identificação dos metabólitos secundários presentes nas folhas de Morus alba L. e sua relação com os sintomas do climatério ,Fundação Bradesco Osasco I (E.E.F.M.E.P.J.A. Embaixador Assis Chateaubriand), Osasco,São Paulo (SP),2020
3o. Lugar em Ciências Exatas e da Terra ,BlindChess - xadrez para deficientes visuais ,IFSUL - Unidade Charqueadas, Charqueadas,Rio Grande do Sul (RS),2020
3o. Lugar em Ciências Exatas e da Terra ,Análise da modelagem solenoidal como alternativa para o campo magnético terrestre conforme dinâmica da Anomalia Magnética do Atlântico Sul fase II ,Escola General Osório, Campo Grande,Mato Grosso do Sul (MS),2020
3o. Lugar em Ciências Exatas e da Terra ,Previsão de estudantes com risco de evasão utilizando técnicas de inteligência artificial ,IFMS - Campus Aquidauana, Aquidauana,Mato Grosso do Sul (MS),2020
3o. Lugar em Ciências Exatas e da Terra ,A dinâmica das decisões: análise caótica de sistemas de tomadas de decisões sequenciais como sistemas não-lineares ,Escola Alef Peretz - Unidade Hebraica, Sao Paulo,São Paulo (SP),2020
3o. Lugar em Ciências Humanas ,Teclado musical inclusivo: a utilização da robótica educacional no ensino de música ,Colégio Mater Christi, Mossoro,Rio Grande do Norte (RN),2020
3o. Lugar em Ciências Humanas ,FemiArTec: uma alternativa de autodefesa às mulheres ,Colégio Marista Pio XII, Novo Hamburgo,Rio Grande do Sul (RS),2020
3o. Lugar em Ciências Humanas ,"Sistema de monitoramento do tempo (SMOT): mapeando áreas de vulnerabilidade em encostas no bairro de Bom Juá, Salvador-BA ",SESI Reitor Miguel Calmon, Salvador,Bahia (BA),2020
3o. Lugar em Ciências Humanas ,GeoPen: promoção da inclusão escolar de deficientes visuais através de tecnologia assistiva ,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2020
3o. Lugar em Ciências Sociais Aplicadas ,EcoTech ,Centro Estadual de Educação Profissional em Tecnologia, Informação E Comunicação,Tocantins (TO),2020
3o. Lugar em Engenharia ,O uso da seiva do pseudocaule de bananeira no aumento da densidade de partículas sólidas em suspensão ,E.E. Prof. Élcio José Pereira Cotrim, Cajamar,São Paulo (SP),2020
3o. Lugar em Engenharia ,Sistema interativo para a reabilitação fisioterapêutica: um fisiogame para uso adulto e infantil. ,IFRN - Campus Ceará-Mirim, Ceara-Mirim,Rio Grande do Norte (RN),2020
3o. Lugar em Engenharia ,MiAu: a tecnologia a serviço da proteção animal ,Colégio FAAT, Atibaia,São Paulo (SP),2020
3o. Lugar em Engenharia ,Produção de piso tátil a partir da desvulcanização ultrassônica de borracha proveniente de pneus inservíveis ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2020
2o. Lugar em Ciências Agrárias ,Sistema de captação de água de poços artesianos sem uso de energia elétrica em áreas de assentamento do município de Bodó ,Escola Agrícola de Jundiaí, Macaiba,Rio Grande do Norte (RN),2020
2o. Lugar em Ciências Biológicas ,Obtenção de ácido cítrico a partir do resíduo do milho e do bagaço da cana por biotransformação ,IFMS - Campus Coxim, Coxim,Mato Grosso do Sul (MS),2020
2o. Lugar em Ciências da Saúde ,Chiclete de capsaicina: uma alternativa para proporcionar ao astronauta uma melhor percepção dos alimentos ,Escola SESI-Canaã Centro de Atividades Mozart Soares Filho, Goiania,Goiás (GO),2020
2o. Lugar em Ciências Exatas e da Terra ,Desenvolvimento de uma telha fotovoltaica feita a partir de fibra de coco verde (Cocos nucifera L.) e polipropileno ,Etec Irmã Agostina, Sao Paulo,São Paulo (SP),2020
2o. Lugar em Ciências Exatas e da Terra ,Turbidímetro e condutivímetro integrados de baixo custo ,IFCE - Campus Juazeiro do Norte, Juazeiro Do Norte,Ceará (CE),2020
2o. Lugar em Ciências Humanas ,Feminicídio: uma análise longitudinal dos fatores explicativos da sua ocorrência nos estados brasileiros ,Colégio Claretiano - São Paulo, Sao Paulo,São Paulo (SP),2020
2o. Lugar em Ciências Humanas ,Lazer inclusivo: tabuleiro de xadrez adaptado ,IFMS - Campus Campo Grande, Campo Grande,Mato Grosso do Sul (MS),2020
2o. Lugar em Ciências Sociais Aplicadas ,A Educação financeira como ferramenta de formação de cidadãos conscientes ,IFAL - Campus Santana do Ipanema, Santana Do Ipanema,Alagoas (AL),2020
2o. Lugar em Engenharia ,Sistema de monitoração cardíaca e respiratória para pequenos animais compatível com ambiente de ressonância magnética ,CEFET-MG - Unidade BH - Campus II, Belo Horizonte,Minas Gerais (MG),2020
2o. Lugar em Engenharia ,SAEER: desenvolvimento de um sistema de abastecimento elétrico para estabelecimentos rurais ,Colégio Franciscano Santo Inácio, Baependi,Minas Gerais (MG),2020
2o. Lugar em Engenharia ,Friday: uma prótese microcontrolada ,EEEP Avelino Magalhães, Tabuleiro Do Norte,Ceará (CE),2020
2o. Lugar em Engenharia ,Kids’ Evolution - estabilizador vertical com sistema de vibração para crianças com paralisia cerebral ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2020
1o. Lugar em Ciências Agrárias ,TaipaEstock - armazenamento de grãos utilizando taipa de mão ,IFC - Campus Rio do Sul, Rio Do Sul,Santa Catarina (SC),2020
1o. Lugar em Ciências Biológicas ,Produção de polpa celulósica e papel a partir do sabugo de milho (Zea mays L.) ,Colégio Bom Jesus Mãe do Divino Amor, Arapongas,Paraná (PR),2020
1o. Lugar em Ciências Biológicas ,Crise dos antibióticos: bacteriocinas do soro de leite de vaca fermentado por grãos de kefir. Uma possível solução? ,IFSP - Campus Suzano, Suzano,São Paulo (SP),2020
1o. Lugar em Ciências da Saúde ,Produção de biomembranas e formulações farmacêuticas a partir do látex da mangaba (Hancornia speciosa) para auxílio na cicatrização de úlceras de perna em portadores do diabetes mellitus ,IFBA - Campus Catu, Catu,Bahia (BA),2020
1o. Lugar em Ciências Exatas e da Terra ,Criptografia pós-quântica ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2020
1o. Lugar em Ciências Exatas e da Terra ,TAAPETE: tecnologia assistiva acessível para pessoas com tetraplegia ,IF Baiano - Campus Valença, Valenca,Bahia (BA),2020
1o. Lugar em Ciências Humanas ,Educação de imigrantes haitianos no Brasil: mapeamento das condições de escolarização de haitianos na educação básica brasileira por meio de indicadores educacionais - Fase II ,Colégio Interativa, Londrina,Paraná (PR),2020
1o. Lugar em Ciências Humanas ,Bonecas e bonecos com características afro-brasileiras: representação e empoderamento negro ,Escola Santa Teresinha, Imperatriz,Maranhão (MA),2020
1o. Lugar em Ciências Sociais Aplicadas ,Elaboração de indicadores de prevalência social (IPS) para redefinição do rastreamento onco-mastológico no Sistema Único de Saúde (SUS) na cidade de São Paulo - Fase II ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2020
1o. Lugar em Engenharia ,Controle eletrônico para um sistema de circulação de água fechada para tratamento de lesões sofridas por impacto utilizando célula de Peltier ,IFSP - Campus Campinas, Campinas,São Paulo (SP),2020
1o. Lugar em Engenharia ,Desenvolvimento de um aerogerador utilizando sucata de ar-condicionado ,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2020
1o. Lugar em Engenharia ,Polibrick: espuma rígida de poliuretano como agregada em blocos de concreto ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2020
4º Lugar na Votação Popular ,Black White: adaptando-se ao sertão ,Colégio Estadual Dom Juvêncio de Britto, Caninde De Sao Francisco,Sergipe (SE),2020
3º Lugar na Votação Popular ,Avaliação da fibra de paina (Ceiba pentandra) como biomanta de contenção de encostas na Região Metropolitana do Recife ,Colégio Militar do Recife, Recife,Pernambuco (PE),2020
2º Lugar na Votação Popular ,Caixa de remédios automatizada para auxiliar idosos ,E.E.B. Bom Pastor, Chapeco,Santa Catarina (SC),2020
1º Lugar na Categorias Gerais da FEBRACE ,Fabricação e utilização do biodiesel como combustível alternativo ,E.M. Amaro de Souza Paes, Sao Joao Da Barra,Rio de Janeiro (RJ),2020
Outstanding for Behavioral Sciences ,O impacto da formação de identidade hipermoderna: ação comunicativa para saúde mental dos adolescentes (fase II),Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2019
Intel Excellence in Computer Science ,Quadro Vivo automatizado:cultivo em espaços reduzidos,Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
The 2019 Regional Ricoh Sustainable Development Award ,Samis: uso do sabugo de milho para substituição do poliestireno - fase II,Colégio SESI, Campo Largo,Paraná (PR),2019
Student Awards for Geoscience Excellence ,Análise da origem e evolução da Anomalia Magnética do Atlântico Sul: teoria do solenóide para a dinâmica do campo magnético terrestre,Escola General Osório, Campo Grande,Mato Grosso do Sul (MS),2019
"Most Outstanding Exhibit in Computer Science, Engineering, Physics or Chemistry ",ACAPELA: Aparelho de Comunicação Alternativa para Pessoas com Esclerose Lateral Amiotrófica,IF Baiano - Campus Valença, Valenca,Bahia (BA),2019
"Most Challenging, original, thorough and Creative Investigation of a Problem ",Planejamento logístico para otimização do atendimento de saúde e segurança pública móvel em Coxim - MS - Fase II,IFMS - Campus Coxim, Coxim,Mato Grosso do Sul (MS),2019
Outstanding Achievement for Ability and Creativity in In Vitro Biology ,Análise de compostos sensibilizadores dos mecanismos de resistência das bactérias em extratos orgânicos da Amburana cearensis,IFRJ - Campus Maracanã, Rio De Janeiro - Rj,Tocantins (TO),2019
Most Outstanding Exhibit in Material Science ,"Seaweedplastic: criação de um plástico feito à base de algas marinhas (Gracilariabirdiae), a fim de retardar o processo de oxidação das frutas",Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
Prêmio Destaque em Engenharia Insper ,Confeitaria de precisão utilizando impressora 3D de chocolate,CEFET-MG - Unidade BH - Campus I, Belo Horizonte,Minas Gerais (MG),2019
Prêmio Destaque em Engenharia Insper ,Desenvolvimento de cadeira de rodas motorizado com sistema de recarga por energia solar,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
Prêmio Destaque em Engenharia Insper ,OneGuitar: tecnologia assistiva no auxílio rítmico do violão para pessoas sem um dos membros superiores,Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
Prêmio Destaque em Engenharia Insper ,Sensor de enchentes: método de prevenção para inundações,Complexo Educacional Dom Bosco, Imperatriz,Maranhão (MA),2019
Prêmio Destaque em Engenharia Insper ,SmartLeg – prótese transfemoral inteligente: fase 3,IFSUL - Unidade Charqueadas, Charqueadas,Rio Grande do Sul (RS),2019
Prêmio Destaque em Engenharia Insper ,Sofphenix,Sant’Anna International School, Vinhedo,São Paulo (SP),2019
Prêmio Destaque em Engenharia Insper ,Desenvolvimento de ferramenta para identificação de padrões associados à discriminação de gênero em textos através de algoritmos de processamento de linguagem natural,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2019
Prêmio Destaque em Engenharia Insper ,Conversão Eletromecânica de Energia Sonora em Elétrica,Colégio Visconde de Porto Seguro - Unidade I, Sao Paulo,São Paulo (SP),2019
Prêmio Destaque em Engenharia Insper ,Sistema automatizado de recolhimento de varal (SARV),Colégio FAAT, Atibaia,São Paulo (SP),2019
Prêmio Destaque em Engenharia Insper ,Tecnologia assistiva para caminhada de deficientes visuais (TACDV) - Fase 2,E.E.E.F.M. Joaquim de Lima Avelino, Ouro Preto Do Oeste,Rondônia (RO),2019
Prêmio Mentoria Insper ,Da água suja à energia limpa: utilizando o potencial energético do Rio Tietê,Colégio Renascença, Sao Paulo,São Paulo (SP),2019
Prêmio Mentoria Insper ,Confeitaria de precisão utilizando impressora 3D de chocolate,CEFET-MG - Unidade BH - Campus I, Belo Horizonte,Minas Gerais (MG),2019
Prêmio Mentoria Insper ,Desenvolvimento de cadeira de rodas motorizado com sistema de recarga por energia solar,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
Prêmio Sociedade Brasileira de Microbiologia ,Uso de diferentes concentrações de uva-do-japão (Hoveniadulcis) no controle do fungo Colletotrichum gloeosporioides in vitro e em Capsicum baccatum var. pendulum ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
Prêmio Destaque Sociedade Brasileira de Microbiologia ,Análise de compostos sensibilizadores dos mecanismos de resistência das bactérias em extratos orgânicos da Amburana cearensis,IFRJ - Campus Maracanã, Rio De Janeiro - Rj,Tocantins (TO),2019
Menção honrosa da SBPC na FEBRACE ,Bioprospecção do extrato etanólico da Senna alata L. como larvicida para o combater a reprodução das larvas dos mosquitos Aedes aegypti eAulexquinquefasciatus no município de Boa Vista - RR,E.E. Prof ª. Maria das Dores Brasil, Boa Vista,Roraima (RR),2019
Menção honrosa da SBPC na FEBRACE ,Nanocris: desenvolvimento e caracterização de nanocápsulas de núcleo lipídico contendo crisinapara tratamento de melanoma cutâneo,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
Projeto Destaque da SBPC na FEBRACE ,Aquaponia familiar e escolar: uma alternativa sustentável para produção e segurança alimentar,E.E. Prof ª Hermelina de Albuquerque Passarella, Mairipora,São Paulo (SP),2019
2º lugar  ,Desenvolvimento de cateter bioativo proveniente do aproveitamento do líquido da castanha do caju (AnacardiumOccidentale) como alternativa na prevenção de infecção sistêmica,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
1º lugar  ,Aplicação da semente da Moringa oleifera como solução à eutrofização,SENAI Vila Canaã, Goiania,Goiás (GO),2019
Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular  ,Nanocris: desenvolvimento e caracterização de nanocápsulas de núcleo lipídico contendo crisina para tratamento de melanoma cutâneo,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular  ,LCC: atividade larvicida em mosquitos hematófagos,Escola de Referência em Ensino Médio Aura Sampaio Parente Muniz, Salgueiro,Pernambuco (PE),2019
Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular  ,CATCHPOOH: aproveitamento de resíduos para biossíntese de celulose e confecção de embalagem,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2019
Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular  ,Análise e desenvolvimento de interactomas sob estímulo por agrotóxicos: um estudo de processos biológicos e geração de doenças neurológicas por contaminantes agrícolas,E.E.F.M. Deputado Joaquim de Figueiredo Correia, Iracema,Ceará (CE),2019
Menção Honrosa em Física 2019 ,Desenvolvimento de um kit didático utilizando Arduino e LEGO para aprendizado de grandezas cinemáticas,Colégio de Aplicação - CODAP/UFS, Sao Cristovao,Sergipe (SE),2019
Menção Honrosa em Física 2019 ,Síntese de partículas de magnetita associadas a carvão ativo e poliuretano para adsorção de corantes e íons de Cd²+ e Co²+,Etec Irmã Agostina, Sao Paulo,São Paulo (SP),2019
Destaque em Física 2019 ,Análise da origem e evolução da Anomalia Magnética do Atlântico Sul: teoria do solenóide para a dinâmica do campo magnético terrestre,Escola General Osório, Campo Grande,Mato Grosso do Sul (MS),2019
Prêmio Agencia USP de Inovação ,Aquaponia familiar e escolar: uma alternativa sustentável para produção e segurança alimentar,E.E. Prof ª Hermelina de Albuquerque Passarella, Mairipora,São Paulo (SP),2019
Prêmio Agencia USP de Inovação ,Manejo sustentável da Mauritia flexuoso para o desenvolvimento econômico do sudoeste maranhense,C.E. Prof. Edinan Moraes, Imperatriz,Maranhão (MA),2019
Prêmio EDUSP ,Guide2Blind: sistema háptico-sonoro de orientação para deficientes visuais em ambientes fechados - Fase 2,ATUALIZADO EM 04/02/19 – 12H00IFSUL - Unidade Charqueadas, Charqueadas,Rio Grande do Sul (RS),2019
Prêmio EDUSP ,"Seaweedplastic: criação de um plástico feito à base de algas marinhas (Gracilariabirdiae), a fim de retardar o processo de oxidação das frutas",Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
Prêmio EDUSP ,Desafio Alfa: a tecnologia transformando a sala de aula,E.E.B. Irmã Irene, Santa Cecilia,Santa Catarina (SC),2019
Prêmio EDUSP ,"O uso do polietileno, contido nas embalagens de shampoo, na produção de uma telha ecológica",E.E. Monsenhor Raimundo Gurgel, Mossoro,Rio Grande do Norte (RN),2019
Prêmio Revista InCiência ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
Prêmio Revista InCiência ,Sensor de enchentes: método de prevenção para inundações,Complexo Educacional Dom Bosco, Imperatriz,Maranhão (MA),2019
Prêmio Revista InCiência ,"Raiz, identidade e empoderamento: um estudo histórico-crítico da ditadura dos padrões de beleza dos cosméticos na sociedade contemporânea",IFBA - Campus Catu, Catu,Bahia (BA),2019
Prêmio Revista InCiência ,Produção de biogás a partir dos resíduos da mandioca: uma alternativa para as comunidades quilombolas do município de Moju-PA,E.E.E.M. Prof ª Ernestina Pereira Maia, Moju,Pará (PA),2019
Prêmio Revista InCiência ,Nanocris: desenvolvimento e caracterização de nanocápsulas de núcleo lipídico contendo crisina para tratamento de melanoma cutâneo,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
Prêmio Anna Frida Hoffman ,Redução da toxicidade de efluentes de curtumes até às condições de água potável,Etec Prof. Carmelino Corrêa Júnior (Escola Agrícola), Franca,São Paulo (SP),2019
Prêmio Anna Frida Hoffman ,Controle Sensorial,Escola SENAI Celso Charuri, Guarulhos,São Paulo (SP),2019
Prêmio Marília Chaves Peixoto ,Desenvolvimento de ferramenta para identificação de padrões associados à discriminação de gênero em textos através de algoritmos de processamento de linguagem natural,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2019
Prêmio Marília Chaves Peixoto ,Avaliação da atividade inseticida de extratos orgânicos da Jatrophagossypiifolia (pinhão-roxo) frente ao Aedes aegypti e Sitophiluszeamais,IFAL - Campus Palmeira dos Índios, Palmeira Dos Indios,Alagoas (AL),2019
 ,Manejo sustentável da Mauritia flexuoso para o desenvolvimento econômico do sudoeste maranhense,C.E. Prof. Edinan Moraes, Imperatriz,Maranhão (MA),2019
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica ,Desenvolvimento de cadeira de rodas motorizado com sistema de recarga por energia solar,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica ,Revestimentos comestíveis na pós-colheita de laranjas,Colégio Gabriela Mistral, Palotina,Paraná (PR),2019
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica ,Flanelinhas em Imperatriz - MA: problema urbano ou caso de segurança pública?,Centro Educacional Arteceb, Imperatriz,Maranhão (MA),2019
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica ,"Avaliação do potencial antioxidante do extrato aquoso, alcoólico e hidroalcoólico de Eugenia dysenterica, planta nativa do cerrado conhecida popularmente como cagaita",CEFET-MG / Campus Curvelo , Curvelo,Minas Gerais (MG),2019
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica ,Interactive Braille: kit para alfabetização em Braille a baixo custo,IFSP - Campus Campinas, Campinas,São Paulo (SP),2019
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica ,Adesivo transdérmico para cicatrização em feridas de diabéticos mellitus (DM) a partir de resíduos vegetais com carotenoides e óleos essenciais,Etec Prof. Dr. José Dagnoni, Santa Barbara D'Oeste,São Paulo (SP),2019
Prêmio ABRITEC - Certificado de Incentivo a Pesquisa Tecnológica e Científica ,Análise da origem e evolução da Anomalia Magnética do Atlântico Sul: teoria do solenóide para a dinâmica do campo magnético terrestre,Escola General Osório, Campo Grande,Mato Grosso do Sul (MS),2019
Prêmio ABRIC de excelência em iniciação científica ,Acusticoco - painéis para condicionamento acústico composto por fibra de coco aplicado a salas de aula,Escola SESI de Educação Básica Industrial Abelardo Lopes, Maceio,Alagoas (AL),2019
Prêmio ABRIC de excelência em iniciação científica ,Produção de biopolímeros à base da casca da banana (Musa spp.),E.E.E.M. Prof ª Ernestina Pereira Maia, Moju,Pará (PA),2019
Prêmio ABRIC de excelência em iniciação científica ,Biofilme nano polimérico anticongelante para hortaliças,Colégio SESI CIC, Curitiba,Paraná (PR),2019
Prêmio ABRIC de excelência em iniciação científica ,Ecoestacas - promovendo propriedades sustentáveis,CETEP do Médio Sudoeste da Bahia, Itororo,Bahia (BA),2019
Prêmio ABRIC de excelência em iniciação científica ,Análise in vitro do potencial biotecnológico do Oenocarpus bacaba Mart. na prevenção e redução neurodegenerativas de Alzheimer,C.E.E.F.M. Delfino Aguiar de Azevedo, Sao Joao Do Paraiso,Maranhão (MA),2019
Prêmio ABRIC de excelência em iniciação científica ,Assédio sexual nas escolas de Lorena: violência de gênero e relação de poder,Colégio Drummond, Lorena,São Paulo (SP),2019
Prêmio Destaque do Ano Ciências Moleculares  ,Procedimentos e cuidados com o solo visando o conforto térmico em ambientes de ensino,IFSP - Campus Registro, Registro,São Paulo (SP),2019
Prêmio Destaque do Ano Ciências Moleculares  ,Análise do efeito alelopático de Leucaena leucocephala sobre Lactuca sativa var.crispa e Cecropia sp.,E.E. Teotônio Vilela, Campo Grande,Mato Grosso do Sul (MS),2019
Prêmio Manual do Mundo ,Avaliação da aplicabilidade do caroço do açaí como massa modelável: um estudo social da mobilização econômica e impactos socioambientais – fase II,Sistema de Ensino Inove, Abaetetuba,Pará (PA),2019
Prêmio Manual do Mundo ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
Prêmio Manual do Mundo ,Tecnologia assistiva para caminhada de deficientes visuais (TACDV) - Fase 2,E.E.E.F.M. Joaquim de Lima Avelino, Ouro Preto Do Oeste,Rondônia (RO),2019
Society for Science & the Public Award for Community Innovation ,Manejo sustentável da Mauritia flexuoso para o desenvolvimento econômico do sudoeste maranhense,C.E. Prof. Edinan Moraes, Imperatriz,Maranhão (MA),2019
Society for Science & the Public Award for Community Innovation ,Papagaio - robô de conversação para turismo,SENAC - Centro de Educação Profissional de Palmas, Palmas,Tocantins (TO),2019
Society for Science & the Public Award for Community Innovation ,Sistema eletrônico de localização veicular autônomo (SELVA),Colégio Militar de Manaus, Manaus,Amazonas (AM),2019
Society for Science & the Public Award for Community Innovation ,Simulação de recomposição de mata ciliar na bacia do rio Beberibe - Recife - PE,Colégio Militar do Recife, Recife,Pernambuco (PE),2019
