Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
Prêmio de Inovação Junior - HackScience,Avaliação do efeito do biofilme comestível à base de plânctons e/ou diferentes amidos associado ou não à refrigeração na conservação de vegetais in natura e controle alternativo com o uso de extratos vegetais no cultivo in vitro de patógenos – fase IV ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2023
Prêmio de Inovação Junior - HackScience,Avaliação da eficiência das bombas de sementes no processo de recuperação de trecho da mata ciliar do riacho das Timbaúbas - etapa II ,E.E.M. Governador Adauto Bezerra, Juazeiro Do Norte,Ceará (CE),2023
Prêmio de Inovação Junior - HackScience,Uma proposta de intervenção no descarte consciente de e-lixo ,E.E.F.M. Deputado Joaquim de Figueiredo Correia, Iracema,Ceará (CE),2023
Prêmio Ciências Moleculares Herch Moysés Nussenzveig de Mérito,Evasão escolar e a desumanização: um estudo à luz do pensamento de Paulo Freire ,Escola Alef Peretz - Unidade Paraisópolis, Sao Paulo,São Paulo (SP),2023
Prêmio Ciências Moleculares Erney Plessmann de Camargo de,MicroRNAs como candidatos à biomarcadores no câncer de pâncreas ,Colégio Degraus, Jundiai,São Paulo (SP),2023
Prêmio Associação dos Engenheiros Politécnicos,Bioconcreto: tecnologia do concreto autorregenerativo com ênfase na bactéria Bacillus subtilis ,Etec Polivalente de Americana, Americana,São Paulo (SP),2023
Prêmio Associação dos Engenheiros Politécnicos,Detecção de Parkinson utilizando Inteligência Artificial - fase 2 ,CEFET-MG - Unidade BH - Campus II, Belo Horizonte ,Minas Gerais (MG),2023
Prêmio Associação dos Engenheiros Politécnicos,Produção de luvas a partir do bioplástico feito da matéria-prima do sisal (Agave sisalana) ,Colégio Estadual Nossa Senhora das Graças, Araci,Tocantins (TO),2023
Prêmio Associação dos Engenheiros Politécnicos,A²Database (Araripe Atmospheric Database): plataforma de monitoramento de dióxido de carbono e compostos orgânicos voláteis na Chapada do Araripe ,IFCE - Campus Juazeiro do Norte, Juazeiro Do Norte,Ceará (CE),2023
Prêmio de Inovação ASV,BioGrape: inovação para tratamento de efluentes têxteis a partir de celulose bacteriana de vinho ,IFRS - Campus Osório, Osório,Rio Grande do Sul (RS),2023
2º Lugar,Aproveitamento de coproduto agroindustrial de goiaba (Psidium guajava) na obtenção de filmes poliméricos biodegradáveis ,E.E.M.T.I. Marconi Coelho Reis, Cascavel,Ceará (CE),2023
1º Lugar,"Potencial larvicida, inseticida e repelente dos princípios ativos do tucum-mirim (Astrocaryum acaule) no controle de artrópodes transmissores de arboviroses ",Escola Santa Teresinha, Imperatriz,Maranhão (MA),2023
Ashland – “student solver award”,"Filtro ecológico de baixo custo, para o tratamento de água, feito à base de carvão ativado proveniente da biomassa da jurema preta (Mimosa hostilis) – Projeto TAC ",E.E.E.P. Antonio Rodrigues de Oliveira, Pedra Branca,Ceará (CE),2023
2º Lugar,Avaliação do efeito do biofilme comestível a base de plânctons e/ou diferentes amidos associado ou não à refrigeração na conservação de vegetais in natura e controle alternativo com o uso de extratos vegetais no cultivo in vitro de patógenos – fase IV ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2023
1º Lugar,BioGrape: inovação para tratamento de efluentes têxteis a partir de celulose bacteriana de vinho ,IFRS - Campus Osório, Osório,Rio Grande do Sul (RS),2023
Prêmio Inteli de Apoio à Inovação,Construção de redes neurais artificiais para mapeamento de inteligências múltiplas dentro de jogos digitais ,Colégio e Curso Matriz Educação, Sao Joao De Meriti,Rio de Janeiro (RJ),2023
Prêmio Destaque Instituto 3M,D’arte - democratização da arte em espaços socioculturais ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2023
Prêmio Destaque Instituto 3M,Virtual Hope: gamificação e inteligência artificial em prol da psicologia ,Escola Salesiana São José, Campinas,São Paulo (SP),2023
Prêmio Destaque Instituto 3M,Bioconcreto: tecnologia do concreto autorregenerativo com ênfase na bactéria Bacillus subtilis ,Etec Polivalente de Americana, Americana,São Paulo (SP),2023
Prêmio Por Um Mundo Sem Lixo,Eco-socius: jogo educativo sobre a economia circular ,IFRS - Campus Osório, Osório,Rio Grande do Sul (RS),2023
3º Lugar,PC Board: compósito produzido a partir da utilização do mesocarpo do Cocos nucifera e do poliestireno expandido ,EEM Maria Conceição de Araújo , Acarau,Ceará (CE),2023
2º Lugar,Produção de luvas a partir do bioplástico feito da matéria-prima do sisal (Agave sisalana) ,Colégio Estadual Nossa Senhora das Graças, Araci,Tocantins (TO),2023
1º Lugar,"Sistema de coleta e armazenagem de água da chuva a partir de materiais de baixo custo, uma alternativa de combate à seca no semiárido nordestino ",E.E. Monsenhor Raimundo Gurgel, Mossoró,Rio Grande do Norte (RN),2023
Prêmio MOCITEPIAL,M - Plasfil: desenvolvimento de membrana para microfiltração e retenção de microplásticos ,Escola SESI - Unidade Prata, Campina Grande,Paraíba (PB),2023
Prêmio MOCITEPIAL,Triocrim - três fitoterápicos à base de alecrim ,Colégio Estadual Dom Juvêncio de Britto, Caninde De Sao Francisco,Sergipe (SE),2023
Prêmio MOCITEPIAL,Ferticagem: uma proposta sustentável e econômica ,Escola SESI Adonias Filho, Ilheus,Bahia (BA),2023
Prêmio FEBIC,Reciclagem de pilhas e baterias: estudo da aplicação do grafite no tratamento de efluentes da indústria têxtil ,Colégio Prof. Roberto Herbster Gusmão, Sete Lagoas,Minas Gerais (MG),2023
Prêmio FEBIC,Análise da extração de corantes naturais e aplicabilidade na alimentação humana ,Colégio Farroupilha, Porto Alegre,Rio Grande do Sul (RS),2023
Prêmio FEBIC,Fibras de coco e abacaxi: solução acessível para contaminações por óleo dos corpos d’água no Brasil ,Colégio Presbiteriano Mackenzie, Sao Paulo,São Paulo (SP),2023
Prêmio FEBIC,De repente presidente - um jogo de incentivo à participação política ,Colégio Social Madre Clélia, Curitiba,Paraná (PR),2023
Prêmio FEBIC,Desinfopedia: primeira base de dados das fake news no Brasil e análise temática via codificação qualitativa no combate à desinformação ,Colégio Visconde de Porto Seguro - Unidade I, Sao Paulo,São Paulo (SP),2023
Prêmio de Excelência FeNaDANTE,GATES (Grupo de Apoio Tático Educacional de Suporte Cognitivo) - O portal inteligente ,IFPB - Campus Picuí, Picui,Paraíba (PB),2023
Prêmio de Excelência FeNaDANTE,"Carvão ativado por micro-ondas a partir do coco verde, a viabilidade desse resíduo como tecnologia no tratamento de efluentes ",Colégio Militar do Recife, Recife,Pernambuco (PE),2023
Prêmio de Excelência FeNaDANTE,História em silêncio: entre as lembranças e a construção da identidade do sujeito surdo ,Centro Estadual de Capacitação de Educadores e Atendimento ao Surdo, Mossoró,Rio Grande do Norte (RN),2023
Prêmio de Excelência FeNaDANTE,Análise do extrato da semente do bacuri (Platonia insignis Mart.) na obtenção de bioativos com potenciais em atividade leishmanicida ,Escola Santa Teresinha, Imperatriz,Maranhão (MA),2023
Prêmio de Excelência FeNaDANTE,Avaliação do efeito do biofilme comestível à base de plânctons e/ou diferentes amidos associado ou não à refrigeração na conservação de vegetais in natura e controle alternativo com o uso de extratos vegetais no cultivo in vitro de patógenos – fase IV ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2023
Prêmio Feira de Ciências do Semiárido Potiguar,M - Plasfil: desenvolvimento de membrana para microfiltração e retenção de microplásticos ,Escola SESI - Unidade Prata, Campina Grande,Paraíba (PB),2023
Prêmio Feira de Ciências do Semiárido Potiguar,"Filtro ecológico de baixo custo, para o tratamento de água, feito à base de carvão ativado proveniente da biomassa da jurema preta (Mimosa hostilis) – Projeto TAC ",E.E.E.P. Antonio Rodrigues de Oliveira, Pedra Branca,Ceará (CE),2023
Prêmio MCTIA,Desenvolvimento de uma ferramenta para cálculo de dose insulina bolus no tratamento de diabéticos tipo 1 ,Colégio Militar de Curitiba, Curitiba,Paraná (PR),2023
Prêmio MCTIA,Dispositivo detector de prováveis desmaios ,CEFET-MG - Unidade BH - Campus II, Belo Horizonte ,Minas Gerais (MG),2023
Prêmio MCTIA,Dispositivo eletrônico para auxiliar na correção da síndrome do pé caído - fase 1 ,E.T.E. Henrique Lage, Niteroi,Rio de Janeiro (RJ),2023
Prêmio FENECIT,Desenvolvimento de uma montagem refletora de baixo custo para aumento da eficiência de painéis fotovoltaicos ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2023
Prêmio FENECIT,Aproveitamento de coproduto agroindustrial de goiaba (Psidium guajava) na obtenção de filmes poliméricos biodegradáveis ,E.E.M.T.I. Marconi Coelho Reis, Cascavel,Ceará (CE),2023
Prêmio Destaque FENECIT,Sistema de irrigação automatizado ,E.E.E.F.M. EURICO SALLES, Itaguacu,Espírito Santo (ES),2023
Prêmio FETECMS,"Periferização, segregação e especulação imobiliária relacionadas ao projeto Minha Casa, Minha Vida em Limeira - SP ",Campo não encontrado,Campo não encontrado,Campo não encontrado,2023
Prêmio FETECMS,Aplicativo de auxílio a diagnóstico da varíola do macaco por meio de reconhecimento de imagens ,IFPI - Campus Teresina, Teresina,Piauí (PI),2023
Prêmio FETECMS,Análise da viabilidade e eficiência da filtragem de cor na quantificação do percentual de cobertura arbórea no processamento de imagens de satélite ,Colégio São Francisco de Sales Diocesano , Teresina,Piauí (PI),2023
